step,loss,l_attack,l_perc,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf
10,0.8585718870162964,0.8585718870162964,0.0,0.0,9.999943151198347e-05,,,
20,0.36292320489883423,0.36292320489883423,0.0,0.0,9.999644698917173e-05,,,
30,0.6367830038070679,0.6367830038070679,0.0,0.0,9.999303618675199e-05,,,
40,0.9053941369056702,0.9053941369056702,0.0,0.0,9.99857885177485e-05,,,
50,0.8767995238304138,0.8767995238304138,0.0,0.0,9.99795359395308e-05,,,
60,0.006042188964784145,0.006042188964784145,0.0,0.0,9.996802626882653e-05,,,
70,0.9144673943519592,0.9144673943519592,0.0,0.0,9.995893290216545e-05,,,
80,0.6282699108123779,0.6282699108123779,0.0,0.0,9.99431630472708e-05,,,
90,0.7444761395454407,0.7444761395454407,0.0,0.0,9.993123032811436e-05,,,
100,0.43233299255371094,0.43233299255371094,0.0,0.0,9.991120277927224e-05,,,
110,0.8399658203125,0.8399658203125,0.0,0.0,9.989643259193511e-05,,,
120,0.8499232530593872,0.8499232530593872,0.0,0.0,9.987215051172766e-05,,,
130,0.16309848427772522,0.16309848427772522,0.0,0.0,9.985454518859366e-05,,,
140,0.7909428477287292,0.7909428477287292,0.0,0.0,9.98260124114428e-05,,,
150,0.15463894605636597,0.15463894605636597,0.0,0.0,9.980557473259651e-05,,,
160,0.005332503467798233,0.005332503467798233,0.0,0.0,9.977279576415853e-05,,,
170,0.9597800970077515,0.9597800970077515,0.0,0.0,9.97495289569464e-05,,,
180,0.5414015650749207,0.5414015650749207,0.0,0.0,9.971250897340038e-05,,,
190,0.016264120116829872,0.016264120116829872,0.0,0.0,9.968641671192096e-05,,,
200,0.9229474067687988,0.9229474067687988,0.0,0.0,9.964516155915153e-05,,,
210,0.17182965576648712,0.17182965576648712,0.0,0.0,9.961624796367538e-05,,,
220,0.9563678503036499,0.9563678503036499,0.0,0.0,9.957076415634932e-05,,,
230,0.03502046689391136,0.03502046689391136,0.0,0.0,9.953903379266837e-05,,,
240,0.8523937463760376,0.8523937463760376,0.0,0.0,9.948932851320616e-05,,,
250,0.27488821744918823,0.27488821744918823,0.0,0.0,9.945478639191263e-05,,,
260,0.03281303495168686,0.03281303495168686,0.0,0.0,9.940086748935409e-05,,,
270,0.5079213976860046,0.5079213976860046,0.0,0.0,9.936351906504938e-05,,,
280,0.898108184337616,0.861004650592804,0.03710354119539261,0.0,9.930539505381429e-05,,,
290,0.9173576235771179,0.9173576235771179,0.0,0.0,9.926524622424754e-05,,,
300,0.24218685925006866,0.24218685925006866,0.0,0.0,9.920292628279103e-05,,,
310,0.3065413534641266,0.3065413534641266,0.0,0.0,9.915998338792786e-05,,,
320,0.3050263226032257,0.3050263226032257,0.0,0.0,9.909347735729114e-05,,,
330,0.8852672576904297,0.8836042881011963,0.0016629472374916077,0.0,9.904774717831243e-05,,,
340,0.522178590297699,0.522178590297699,0.0,0.0,9.897706556056873e-05,,,
350,0.8346703052520752,0.8346703052520752,0.0,0.0,9.89285553187999e-05,,,
360,0.3820125162601471,0.3820125162601471,0.0,0.0,9.8853709275396e-05,,,
370,0.5638959407806396,0.5638959407806396,0.0,0.0,9.880242663116655e-05,,,
380,0.7448382377624512,0.7448382377624512,0.0,0.0,9.872342798116034e-05,,,
390,0.898978054523468,0.898978054523468,0.0,0.0,9.866938103259428e-05,,,
400,0.25219494104385376,0.25219494104385376,0.0,0.0,9.858624225078841e-05,,,
410,0.2943333685398102,0.2943333685398102,0.0,0.0,9.852943953252547e-05,,,
420,0.9552486538887024,0.9552486538887024,0.0,0.0,9.844217374749732e-05,,,
430,0.7937369346618652,0.7937369346618652,0.0,0.0,9.838262422934518e-05,,,
440,0.023971596732735634,0.023971596732735634,0.0,0.0,9.829124522137386e-05,,,
450,0.5406286120414734,0.5406286120414734,0.0,0.0,9.822895830689176e-05,,,
460,0.8642515540122986,0.8642515540122986,0.0,0.0,9.813348050578194e-05,,,
470,0.862235963344574,0.862235963344574,0.0,0.0,9.806846603079572e-05,,,
480,0.00026344432262703776,0.00026344432262703776,0.0,0.0,9.796890451359894e-05,,,
490,0.21751315891742706,0.21751315891742706,0.0,0.0,9.790117274464789e-05,,,
