step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf
640,0.4493553042411804,0.4493553042411804,0.0,0.0,0.0,9.641043313146408e-05,,,
650,0.06977550685405731,0.06977550685405731,0.0,0.0,0.0,9.629895815577906e-05,,,
660,0.39430946111679077,0.39430946111679077,0.0,0.0,0.0,9.618585276794118e-05,,,
670,0.5197530388832092,0.5197530388832092,0.0,0.0,0.0,9.607112143315754e-05,,,
680,0.32593655586242676,0.32593655586242676,0.0,0.0,0.0,9.595476868082472e-05,,,
690,0.27340167760849,0.27340167760849,0.0,0.0,0.0,9.583679910435019e-05,,,
700,0.42792046070098877,0.42792046070098877,0.0,0.0,0.0,9.571721736097081e-05,,,
710,0.7179469466209412,0.6984451413154602,0.01950179785490036,0.0,0.0,9.559602817156908e-05,,,
720,0.09825195372104645,0.09825195372104645,0.0,0.0,0.0,9.547323632048666e-05,,,
730,0.05594794452190399,0.05594794452190399,0.0,0.0,0.0,9.534884665533557e-05,,,
740,0.23897361755371094,0.23897361755371094,0.0,0.0,0.0,9.522286408680683e-05,,,
750,0.029456766322255135,0.029456766322255135,0.0,0.0,0.0,9.509529358847652e-05,,,
760,0.4743857681751251,0.4743857681751251,0.0,0.0,0.0,9.496614019660949e-05,,,
770,0.21218998730182648,0.21218998730182648,0.0,0.0,0.0,9.483540900996046e-05,,,
780,0.5171114206314087,0.5016553401947021,0.015456089749932289,0.0,0.0,9.470310518957288e-05,,,
790,0.15314050018787384,0.15314050018787384,0.0,0.0,0.0,9.456923395857499e-05,,,
800,0.44395390152931213,0.44395390152931213,0.0,0.0,0.0,9.44338006019738e-05,,,
810,0.394833505153656,0.394833505153656,0.0,0.0,0.0,9.429681046644635e-05,,,
820,0.47162535786628723,0.47162535786628723,0.0,0.0,0.0,9.415826896012861e-05,,,
830,0.3288033902645111,0.3288033902645111,0.0,0.0,0.0,9.4018181552402e-05,,,
840,0.38853752613067627,0.38853752613067627,0.0,0.0,0.0,9.387655377367753e-05,,,
850,0.48034903407096863,0.48034903407096863,0.0,0.0,0.0,9.373339121517738e-05,,,
860,0.32117411494255066,0.32117411494255066,0.0,0.0,0.0,9.35886995287143e-05,,,
870,0.41373565793037415,0.41373565793037415,0.0,0.0,0.0,9.344248442646822e-05,,,
880,0.02950606308877468,0.02950606308877468,0.0,0.0,0.0,9.329475168076107e-05,,,
890,0.1569877415895462,0.1569877415895462,0.0,0.0,0.0,9.314550712382869e-05,,,
900,0.48857083916664124,0.48857083916664124,0.0,0.0,0.0,9.299475664759062e-05,,,
910,0.5455787181854248,0.5455787181854248,0.0,0.0,0.0,9.284250620341757e-05,,,
920,0.04958663880825043,0.04958663880825043,0.0,0.0,0.0,9.268876180189635e-05,,,
930,0.3877713978290558,0.3877713978290558,0.0,0.0,0.0,9.253352951259267e-05,,,
940,0.13255281746387482,0.10311280936002731,0.0005731303244829178,0.05773375183343887,0.0,9.237681546381153e-05,,,
950,0.017399951815605164,0.017399951815605164,0.0,0.0,0.0,9.221862584235525e-05,,,
960,0.27474746108055115,0.27474746108055115,0.0,0.0,0.0,9.20589668932792e-05,,,
970,0.08556646853685379,0.08556646853685379,0.0,0.0,0.0,9.189784491964531e-05,,,
980,0.27026474475860596,0.27026474475860596,0.0,0.0,0.0,9.173526628227325e-05,,,
990,0.10493840277194977,0.10493840277194977,0.0,0.0,0.0,9.157123739948922e-05,,,
1000,0.36913615465164185,0.36913615465164185,0.0,0.0,0.0,9.140576474687264e-05,0.5906255756368602,0.2834347523346479,0.30719082330221237
1010,0.07169689238071442,0.07169689238071442,0.0,0.0,0.0,9.12388548570005e-05,,,
1020,0.4965134859085083,0.4965134859085083,0.0,0.0,0.0,9.107051431918947e-05,,,
1030,0.38025423884391785,0.38025423884391785,0.0,0.0,0.0,9.090074977923571e-05,,,
1040,0.5265059471130371,0.5265059471130371,0.0,0.0,0.0,9.072956793915261e-05,,,
1050,0.35324591398239136,0.35324591398239136,0.0,0.0,0.0,9.055697555690607e-05,,,
1060,0.263274610042572,0.263274610042572,0.0,0.0,0.0,9.038297944614785e-05,,,
1070,0.045890651643276215,0.045890651643276215,0.0,0.0,0.0,9.020758647594645e-05,,,
1080,0.21352636814117432,0.21352636814117432,0.0,0.0,0.0,9.003080357051604e-05,,,
