step,loss,mean_jf_clean,mean_jf_adv,delta_jf
10,0.6644803285598755,,,
20,0.16189917922019958,,,
30,0.4152106046676636,,,
40,0.5376375913619995,,,
50,0.46509647369384766,,,
60,0.08859451115131378,,,
70,0.06465774774551392,,,
80,0.40707048773765564,,,
90,0.04172208905220032,,,
100,0.6186717748641968,,,
110,0.7396949529647827,,,
120,0.032543472945690155,,,
130,0.013349504210054874,,,
140,0.17579147219657898,,,
150,0.016453012824058533,,,
160,0.015085919760167599,,,
170,0.018635239452123642,,,
180,0.10505280643701553,,,
190,0.058598559349775314,,,
200,0.020191049203276634,,,
210,0.00767139159142971,,,
220,0.052620913833379745,,,
230,0.012365524657070637,,,
240,0.007999802939593792,,,
250,0.013748355209827423,,,
260,0.11639531701803207,,,
270,0.016993556171655655,,,
280,0.0037906423676759005,,,
290,0.014059467241168022,,,
300,0.04548562318086624,,,
310,0.017426082864403725,,,
320,0.06584162265062332,,,
330,0.007588639855384827,,,
340,0.009227905422449112,,,
350,0.017027605324983597,,,
360,0.007506447844207287,,,
370,0.004213451407849789,,,
380,0.2676779329776764,,,
390,0.02548556588590145,,,
400,0.006356498692184687,,,
410,0.029940936714410782,,,
420,0.8486036658287048,,,
430,0.013783200643956661,,,
440,0.026968061923980713,,,
450,0.008886116556823254,,,
460,0.005367491394281387,,,
470,0.00981270894408226,,,
480,0.011723150499165058,,,
490,0.016219506040215492,,,
500,0.0171347763389349,0.5906365395917818,0.3245780837495572,0.26605845584222454
510,0.03809164837002754,,,
520,0.597130537033081,,,
530,0.5069317817687988,,,
540,0.10470794886350632,,,
550,0.018104230985045433,,,
560,0.007145292591303587,,,
570,0.06805389374494553,,,
580,0.703486979007721,,,
590,0.004826157819479704,,,
600,0.0066003031097352505,,,
610,0.003344539552927017,,,
620,0.01224448811262846,,,
630,0.5984867811203003,,,
640,0.005817321129143238,,,
650,0.005804172717034817,,,
660,0.29606419801712036,,,
670,0.00723759550601244,,,
680,0.014428291469812393,,,
690,0.00962285976856947,,,
700,0.18702583014965057,,,
710,0.16764554381370544,,,
720,0.0371013805270195,,,
730,0.010603269562125206,,,
740,0.7679424285888672,,,
750,0.010197342373430729,,,
760,0.005714349914342165,,,
770,0.005835175514221191,,,
780,0.010403747670352459,,,
790,0.007341763935983181,,,
800,0.30547428131103516,,,
810,0.11683440953493118,,,
820,0.007927404716610909,,,
830,0.05330736190080643,,,
840,0.02367817424237728,,,
850,0.19728899002075195,,,
860,0.008125150576233864,,,
870,0.021126344799995422,,,
880,0.016040733084082603,,,
890,0.01635110005736351,,,
900,0.09819178283214569,,,
910,0.019241727888584137,,,
920,0.22929422557353973,,,
930,0.007836227305233479,,,
940,0.11625880002975464,,,
950,0.01757153682410717,,,
960,0.029860297217965126,,,
970,0.010391208343207836,,,
980,0.004340318031609058,,,
990,0.057016097009181976,,,
1000,0.27436232566833496,0.5906365395917818,0.3336114884004147,0.25702505119136704
1010,0.02882476896047592,,,
1020,0.6662433743476868,,,
1030,0.014397643506526947,,,
1040,0.007207144983112812,,,
1050,0.027684129774570465,,,
1060,0.03222190961241722,,,
1070,0.22186513245105743,,,
1080,0.04872901365160942,,,
1090,0.3005697727203369,,,
1100,0.007042345590889454,,,
1110,0.10946410149335861,,,
1120,0.028166409581899643,,,
1130,0.01598403789103031,,,
1140,0.01307678408920765,,,
1150,0.1448616236448288,,,
1160,0.6498491168022156,,,
1170,0.5593512058258057,,,
1180,0.01216267142444849,,,
1190,0.5303724408149719,,,
1200,0.017976511269807816,,,
1210,0.48407596349716187,,,
1220,0.015820836648344994,,,
1230,0.25354063510894775,,,
1240,0.060616206377744675,,,
1250,0.017888979986310005,,,
1260,0.4135626554489136,,,
1270,0.04615405946969986,,,
1280,0.011252389289438725,,,
1290,0.17391808331012726,,,
1300,0.006185284350067377,,,
1310,0.017075126990675926,,,
1320,0.1296698898077011,,,
1330,0.013949479907751083,,,
1340,0.011300088837742805,,,
1350,0.047485023736953735,,,
1360,0.2166716307401657,,,
1370,0.04758496582508087,,,
1380,0.08506300300359726,,,
1390,0.015690194442868233,,,
1400,0.019281024113297462,,,
1410,0.01950147934257984,,,
1420,0.21377965807914734,,,
1430,0.07188098877668381,,,
1440,0.7903319001197815,,,
1450,0.005860577803105116,,,
1460,0.007018172647804022,,,
1470,0.14490558207035065,,,
1480,0.005955483298748732,,,
1490,0.007319080643355846,,,
1500,0.13123728334903717,0.5906365395917818,0.3453329642548232,0.24530357533695857
