step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf,vid_vid_mean_jf_clean,vid_vid_mean_jf_adv,vid_vid_delta_jf
330,0.08801355957984924,0.08557864278554916,0.0,0.00486982986330986,0.0,4.951807034732312e-05,,,,,,
340,0.5953807830810547,0.5953807830810547,0.0,0.0,0.0,4.948853278028436e-05,,,,,,
350,0.22199533879756927,0.2187955528497696,0.0,0.006399568170309067,0.0,4.945812714362183e-05,,,,,,
360,0.2368176430463791,0.2368176430463791,0.0,0.0,0.0,4.9426854637698004e-05,,,,,,
370,0.24817895889282227,0.24799610674381256,0.0,0.0003657126799225807,0.0,4.9394716497097853e-05,,,,,,
380,0.03902895748615265,0.03902895748615265,0.0,0.0,0.0,4.936171399058017e-05,,,,,,
390,0.30626147985458374,0.30440446734428406,0.0,0.0037140212953090668,0.0,4.9327848421027386e-05,,,,,,
400,0.30641648173332214,0.30641648173332214,0.0,0.0,0.0,4.929312112539421e-05,,,,,,
410,0.0375458300113678,0.0375458300113678,0.0,0.0,0.0,4.925753347465478e-05,,,,,,
420,0.04972422868013382,0.04972422868013382,0.0,0.0,0.0,4.922108687374866e-05,,,,,,
430,0.2833872139453888,0.2833872139453888,0.0,0.0,0.0,4.918378276152523e-05,,,,,,
440,0.2770244777202606,0.2770244777202606,0.0,0.0,0.0,4.9145622610686915e-05,,,,,,
450,0.021246103569865227,0.019589312374591827,0.0,0.0033135823905467987,0.0,4.910660792773119e-05,,,,,,
460,0.12872907519340515,0.12872907519340515,0.0,0.0,0.0,4.9066740252890934e-05,,,,,,
470,0.26095208525657654,0.26095208525657654,0.0,0.0,0.0,4.902602116007366e-05,,,,,,
480,0.04788506031036377,0.04788506031036377,0.0,0.0,0.0,4.898445225679944e-05,,,,,,
490,0.03844938054680824,0.03844938054680824,0.0,0.0,0.0,4.89420351841374e-05,,,,,,
500,0.07246682792901993,0.06564918160438538,0.0,0.013635288923978806,0.0,4.889877161664094e-05,0.5906255756368602,0.14805373104689354,0.4425718445899667,0.794803311474418,0.7891638764880267,0.005639434986391301
510,0.2783583700656891,0.2782353460788727,0.0,0.00024603866040706635,0.0,4.8854663262281615e-05,,,,,,
520,0.061769116669893265,0.061769116669893265,0.0,0.0,0.0,4.880971186238171e-05,,,,,,
530,0.03378614783287048,0.03200007975101471,0.0,0.0035721324384212494,0.0,4.876391919154558e-05,,,,,,
540,0.07823960483074188,0.07823960483074188,0.0,0.0,0.0,4.8717287057589424e-05,,,,,,
550,0.31832483410835266,0.31832483410835266,0.0,0.0,0.0,4.866981730147005e-05,,,,,,
560,0.5289429426193237,0.5289429426193237,0.0,0.0,0.0,4.862151179721214e-05,,,,,,
