step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf
10,0.03034447692334652,0.021335922181606293,0.0,0.018017109483480453,0.0,9.999911173852616e-05,,,
20,0.24924857914447784,0.23942185938358307,0.0,0.019653450697660446,0.0,9.999644698917173e-05,,,
30,0.6706876754760742,0.670292854309082,0.0,0.0007895855233073235,0.0,9.99920058571364e-05,,,
40,0.6621890068054199,0.6621890068054199,0.0,0.0,0.0,9.998578851774849e-05,,,
50,0.02284197509288788,0.02284197509288788,0.0,0.0,0.0,9.997779521645789e-05,,,
60,0.02612827531993389,0.02612827531993389,0.0,0.0,0.0,9.996802626882649e-05,,,
70,0.15168973803520203,0.14782826602458954,0.0,0.007722940295934677,0.0,9.995648206051556e-05,,,
80,0.5171449184417725,0.5171449184417725,0.0,0.0,0.0,9.99431630472707e-05,,,
90,0.48922815918922424,0.48544418811798096,0.0,0.00756792351603508,0.0,9.992806975490381e-05,,,
100,0.035926274955272675,0.03559669852256775,0.0,0.0006591491401195526,0.0,9.991120277927216e-05,,,
110,0.5053459405899048,0.5053459405899048,0.0,0.0,0.0,9.989256278625508e-05,,,
120,0.32637766003608704,0.32637766003608704,0.0,0.0,0.0,9.987215051172756e-05,,,
130,0.12831321358680725,0.12831321358680725,0.0,0.0,0.0,9.984996676153129e-05,,,
140,0.263662189245224,0.25617700815200806,0.0,0.014970388263463974,0.0,9.982601241144271e-05,,,
150,0.17821785807609558,0.16966985166072845,0.0,0.017096009105443954,0.0,9.980028840713856e-05,,,
160,0.4185033440589905,0.41054582595825195,0.0,0.01591501757502556,0.0,9.977279576415846e-05,,,
170,0.5086923837661743,0.5086498856544495,0.0,8.499901741743088e-05,0.0,9.974353556786486e-05,,,
180,0.24124881625175476,0.24124881625175476,0.0,0.0,0.0,9.971250897340029e-05,,,
190,0.027712995186448097,0.019115936011075974,0.0,0.017194118350744247,0.0,9.967971720564155e-05,,,
200,0.4810703694820404,0.4743401110172272,0.0,0.01346052810549736,0.0,9.964516155915146e-05,,,
210,0.029910026118159294,0.026996083557605743,0.0,0.0058278851211071014,0.0,9.960884339812774e-05,,,
220,0.5126413702964783,0.5126413702964783,0.0,0.0,0.0,9.957076415634927e-05,,,
230,0.5418917536735535,0.54152512550354,0.0,0.0007332349196076393,0.0,9.953092533711927e-05,,,
240,0.25025156140327454,0.247404545545578,0.0,0.005694013088941574,0.0,9.948932851320612e-05,,,
250,0.039349451661109924,0.03602944687008858,0.0,0.0066400133073329926,0.0,9.94459753267812e-05,,,
260,0.09359245002269745,0.09359245002269745,0.0,0.0,0.0,9.940086748935406e-05,,,
270,0.5997680425643921,0.5947675704956055,0.0,0.01000092551112175,0.0,9.93540067817049e-05,,,
280,0.08386107534170151,0.08386107534170151,0.0,0.0,0.0,9.930539505381425e-05,,,
290,0.6645888090133667,0.6645888090133667,0.0,0.0,0.0,9.925503422478983e-05,,,
300,0.43114784359931946,0.41012996435165405,0.0,0.04203573986887932,0.0,9.920292628279099e-05,,,
310,0.653764009475708,0.653764009475708,0.0,0.0,0.0,9.914907328495002e-05,,,
320,0.24530355632305145,0.24530355632305145,0.0,0.0,0.0,9.909347735729111e-05,,,
330,0.09370405226945877,0.08783579617738724,0.0,0.011736508458852768,0.0,9.903614069464625e-05,,,
340,0.6468023061752319,0.6468023061752319,0.0,0.0,0.0,9.897706556056872e-05,,,
350,0.23231230676174164,0.22596324980258942,0.0,0.012698110193014145,0.0,9.891625428724366e-05,,,
360,0.25873905420303345,0.2543126046657562,0.0,0.008852910250425339,0.0,9.885370927539601e-05,,,
370,0.2688172161579132,0.2653038501739502,0.0,0.007026713341474533,0.0,9.878943299419571e-05,,,
380,0.040495146065950394,0.040495146065950394,0.0,0.0,0.0,9.872342798116034e-05,,,
390,0.35002031922340393,0.3478894531726837,0.0,0.004261728376150131,0.0,9.865569684205477e-05,,,
400,0.3314194679260254,0.3314194679260254,0.0,0.0,0.0,9.858624225078842e-05,,,
410,0.0736190527677536,0.0736190527677536,0.0,0.0,0.0,9.851506694930955e-05,,,
420,0.055028293281793594,0.055028293281793594,0.0,0.0,0.0,9.844217374749732e-05,,,
430,0.3071407079696655,0.3071407079696655,0.0,0.0,0.0,9.836756552305046e-05,,,
440,0.2891029119491577,0.2891029119491577,0.0,0.0,0.0,9.829124522137383e-05,,,
450,0.02711530588567257,0.020112648606300354,0.0,0.01400531455874443,0.0,9.821321585546239e-05,,,
460,0.1662527173757553,0.1662527173757553,0.0,0.0,0.0,9.813348050578187e-05,,,
470,0.2695121765136719,0.2695121765136719,0.0,0.0,0.0,9.805204232014732e-05,,,
480,0.05123637244105339,0.05123637244105339,0.0,0.0,0.0,9.796890451359888e-05,,,
490,0.040910687297582626,0.040910687297582626,0.0,0.0,0.0,9.78840703682748e-05,,,
500,0.11619167774915695,0.10024469345808029,0.0,0.03189396485686302,0.0,9.779754323328188e-05,0.5906255756368602,0.15666587356583503,0.4339597020710252
510,0.34133559465408325,0.34133559465408325,0.0,0.0,0.0,9.770932652456323e-05,,,
520,0.07649663090705872,0.07480369508266449,0.0,0.0033858679234981537,0.0,9.761942372476342e-05,,,
530,0.038554370403289795,0.03430348262190819,0.0,0.008501779288053513,0.0,9.752783838309116e-05,,,
540,0.08956900984048843,0.08956900984048843,0.0,0.0,0.0,9.743457411517885e-05,,,
550,0.3339794874191284,0.3339794874191284,0.0,0.0,0.0,9.73396346029401e-05,,,
560,0.582319974899292,0.582319974899292,0.0,0.0,0.0,9.724302359442428e-05,,,
570,0.6341801285743713,0.6341801285743713,0.0,0.0,0.0,9.714474490366862e-05,,,
580,0.10040140151977539,0.10040140151977539,0.0,0.0,0.0,9.704480241054749e-05,,,
590,0.3235025703907013,0.3235025703907013,0.0,0.0,0.0,9.694320006061941e-05,,,
600,0.0717838928103447,0.06730944663286209,0.0,0.008948888629674911,0.0,9.683994186497123e-05,,,
610,0.25440165400505066,0.2542624771595001,0.0,0.00027833227068185806,0.0,9.673503190005969e-05,,,
620,0.2516596019268036,0.2516596019268036,0.0,0.0,0.0,9.662847430755053e-05,,,
630,0.08630283176898956,0.08630283176898956,0.0,0.0,0.0,9.652027329415508e-05,,,
640,0.29105281829833984,0.29105281829833984,0.0,0.0,0.0,9.641043313146408e-05,,,
650,0.11223307251930237,0.11190228909254074,0.0,0.0006615603342652321,0.0,9.629895815577906e-05,,,
660,0.38845470547676086,0.38537195324897766,0.0,0.006165515631437302,0.0,9.618585276794118e-05,,,
670,0.4607181251049042,0.4607181251049042,0.0,0.0,0.0,9.607112143315754e-05,,,
680,0.3007820248603821,0.3007820248603821,0.0,0.0,0.0,9.595476868082472e-05,,,
690,0.2491994947195053,0.24877652525901794,0.0,0.000845935195684433,0.0,9.583679910435019e-05,,,
700,0.2734360694885254,0.27332091331481934,0.0,0.00023032352328300476,0.0,9.571721736097081e-05,,,
710,0.6474762558937073,0.6431199908256531,0.0,0.008712586015462875,0.0,9.559602817156908e-05,,,
720,0.1150897666811943,0.1150897666811943,0.0,0.0,0.0,9.547323632048666e-05,,,
730,0.022528277710080147,0.02247997373342514,0.0,9.66070219874382e-05,0.0,9.534884665533557e-05,,,
740,0.13636627793312073,0.13636627793312073,0.0,0.0,0.0,9.522286408680683e-05,,,
750,0.029321512207388878,0.029321512207388878,0.0,0.0,0.0,9.509529358847652e-05,,,
760,0.30973634123802185,0.3075457513332367,0.0,0.004381176084280014,0.0,9.496614019660949e-05,,,
770,0.22494997084140778,0.21579687297344208,0.0,0.018306192010641098,0.0,9.483540900996046e-05,,,
780,0.376189649105072,0.37161964178085327,0.0017930269241333008,0.005553986877202988,0.0,9.470310518957288e-05,,,
790,0.15541014075279236,0.15541014075279236,0.0,0.0,0.0,9.456923395857499e-05,,,
800,0.42795702815055847,0.42795702815055847,0.0,0.0,0.0,9.44338006019738e-05,,,
810,0.03958591818809509,0.039567332714796066,0.0,3.716908395290375e-05,0.0,9.429681046644635e-05,,,
820,0.35721054673194885,0.355854332447052,0.0,0.0027124546468257904,0.0,9.415826896012861e-05,,,
830,0.3206195533275604,0.3206195533275604,0.0,0.0,0.0,9.4018181552402e-05,,,
840,0.2999173700809479,0.28713011741638184,0.0,0.025574516505002975,0.0,9.387655377367753e-05,,,
850,0.35835880041122437,0.35835880041122437,0.0,0.0,0.0,9.373339121517738e-05,,,
860,0.03026663325726986,0.02648499608039856,0.0,0.0075632743537425995,0.0,9.35886995287143e-05,,,
870,0.3826799988746643,0.3826799988746643,0.0,0.0,0.0,9.344248442646822e-05,,,
880,0.033305637538433075,0.028375932946801186,0.0,0.009859409183263779,0.0,9.329475168076107e-05,,,
890,0.1374029815196991,0.1374029815196991,0.0,0.0,0.0,9.314550712382869e-05,,,
900,0.4239792227745056,0.42373400926589966,0.0,0.0004904083907604218,0.0,9.299475664759062e-05,,,
910,0.058570440858602524,0.058570440858602524,0.0,0.0,0.0,9.284250620341757e-05,,,
920,0.04718777537345886,0.04718777537345886,0.0,0.0,0.0,9.268876180189635e-05,,,
930,0.392768919467926,0.38882166147232056,0.0,0.007894542068243027,0.0,9.253352951259267e-05,,,
940,0.1096222922205925,0.09690248966217041,0.0,0.02543960139155388,0.0,9.237681546381153e-05,,,
950,0.016731424257159233,0.016731424257159233,0.0,0.0,0.0,9.221862584235525e-05,,,
960,0.2587064504623413,0.25857600569725037,0.0,0.00026088301092386246,0.0,9.20589668932792e-05,,,
970,0.07869662344455719,0.07869662344455719,0.0,0.0,0.0,9.189784491964531e-05,,,
980,0.2623519003391266,0.2623519003391266,0.0,0.0,0.0,9.173526628227325e-05,,,
990,0.10506382584571838,0.10506382584571838,0.0,0.0,0.0,9.157123739948922e-05,,,
1000,0.3446289896965027,0.3446289896965027,0.0,0.0,0.0,9.140576474687264e-05,0.5906255756368602,0.17749187094816116,0.4131337046886991
1010,0.06390811502933502,0.06390811502933502,0.0,0.0,0.0,9.12388548570005e-05,,,
1020,0.4071071743965149,0.4071071743965149,0.0,0.0,0.0,9.107051431918947e-05,,,
1030,0.3607029318809509,0.3607029318809509,0.0,0.0,0.0,9.090074977923571e-05,,,
1040,0.024198317900300026,0.024198317900300026,0.0,0.0,0.0,9.072956793915261e-05,,,
1050,0.284089058637619,0.27154216170310974,0.0,0.02509380504488945,0.0,9.055697555690607e-05,,,
1060,0.24772165715694427,0.24772165715694427,0.0,0.0,0.0,9.038297944614785e-05,,,
1070,0.028920797631144524,0.026845142245292664,0.0,0.00415131077170372,0.0,9.020758647594645e-05,,,
1080,0.11762148141860962,0.11762148141860962,0.0,0.0,0.0,9.003080357051604e-05,,,
1090,0.03732594847679138,0.036534056067466736,0.0,0.0015837810933589935,0.0,8.9852637708943e-05,,,
1100,0.02240118384361267,0.019170420244336128,0.0,0.006461527198553085,0.0,8.967309592491052e-05,,,
1110,0.10947654396295547,0.10947654396295547,0.0,0.0,0.0,8.949218530642074e-05,,,
1120,0.13282307982444763,0.13282307982444763,0.0,0.0,0.0,8.930991299551516e-05,,,
1130,0.14600613713264465,0.14600613713264465,0.0,0.0,0.0,8.912628618799251e-05,,,
1140,0.35926005244255066,0.35926005244255066,0.0,0.0,0.0,8.894131213312471e-05,,,
1150,0.2429843693971634,0.2428518682718277,0.0,0.0002650134265422821,0.0,8.875499813337073e-05,,,
1160,0.2966287434101105,0.2966287434101105,0.0,0.0,0.0,8.856735154408823e-05,,,
1170,0.0268541406840086,0.0268541406840086,0.0,0.0,0.0,8.83783797732433e-05,,,
1180,0.2659361958503723,0.260286808013916,0.0,0.011298801749944687,0.0,8.818809028111786e-05,,,
1190,0.41895461082458496,0.41857078671455383,0.0,0.0007676295936107635,0.0,8.799649058001527e-05,,,
1200,0.10452481359243393,0.10452481359243393,0.0,0.0,0.0,8.78035882339636e-05,,,
1210,0.10985187441110611,0.10985187441110611,0.0,0.0,0.0,8.760939085841719e-05,,,
1220,0.5102409720420837,0.5036759376525879,0.0,0.0131300650537014,0.0,8.74139061199559e-05,,,
1230,0.03748645633459091,0.03543125092983246,0.0,0.004110407084226608,0.0,8.72171417359825e-05,,,
1240,0.18199273943901062,0.18199273943901062,0.0,0.0,0.0,8.701910547441795e-05,,,
1250,0.21046486496925354,0.21046486496925354,0.0,0.0,0.0,8.681980515339474e-05,,,
1260,0.07823909819126129,0.07823909819126129,0.0,0.0,0.0,8.661924864094834e-05,,,
1270,0.02122577466070652,0.02122577466070652,0.0,0.0,0.0,8.641744385470639e-05,,,
1280,0.11878592520952225,0.11878592520952225,0.0,0.0,0.0,8.621439876157633e-05,,,
1290,0.16043926775455475,0.16043926775455475,0.0,0.0,0.0,8.60101213774308e-05,,,
1300,0.13787885010242462,0.13787885010242462,0.0,0.0,0.0,8.580461976679112e-05,,,
1310,0.1160513162612915,0.1160513162612915,0.0,0.0,0.0,8.5597902042509e-05,,,
1320,0.12006545066833496,0.12006545066833496,0.0,0.0,0.0,8.538997636544622e-05,,,
1330,0.029696710407733917,0.029696710407733917,0.0,0.0,0.0,8.518085094415252e-05,,,
1340,0.03825584426522255,0.03756307065486908,0.0,0.0013855481520295143,0.0,8.497053403454142e-05,,,
1350,0.021734122186899185,0.01908390037715435,0.0,0.00530044361948967,0.0,8.475903393956441e-05,,,
1360,0.09047834575176239,0.09047834575176239,0.0,0.0,0.0,8.454635900888314e-05,,,
1370,0.27549970149993896,0.27549970149993896,0.0,0.0,0.0,8.433251763853965e-05,,,
1380,0.13159623742103577,0.13159623742103577,0.0,0.0,0.0,8.41175182706251e-05,,,
1390,0.4285862147808075,0.4285862147808075,0.0,0.0,0.0,8.39013693929464e-05,,,
1400,0.3114180564880371,0.3114040493965149,0.0,2.8002075850963593e-05,0.0,8.368407953869114e-05,,,
1410,0.034897882491350174,0.034507088363170624,0.0,0.000781589187681675,0.0,8.34656572860907e-05,,,
1420,0.25404420495033264,0.25404420495033264,0.0,0.0,0.0,8.32461112580816e-05,,,
1430,0.2812345027923584,0.2812345027923584,0.0,0.0,0.0,8.302545012196512e-05,,,
1440,0.05434095859527588,0.02956463024020195,0.0,0.049552660435438156,0.0,8.280368258906509e-05,,,
1450,0.02212407998740673,0.021287553012371063,0.0,0.0016730539500713348,0.0,8.258081741438401e-05,,,
1460,0.038246460258960724,0.038144513964653015,0.0,0.00020389538258314133,0.0,8.23568633962573e-05,,,
1470,0.17361807823181152,0.17361807823181152,0.0,0.0,0.0,8.213182937600618e-05,,,
1480,0.02337806485593319,0.021393433213233948,0.0,0.003969263285398483,0.0,8.190572423758842e-05,,,
1490,0.30038508772850037,0.30038508772850037,0.0,0.0,0.0,8.167855690724771e-05,,,
1500,0.3926595449447632,0.3926595449447632,0.0,0.0,0.0,8.145033635316132e-05,0.5906255756368602,0.19793219346581414,0.3926933821710461
1510,0.04458577185869217,0.04434828460216522,0.0,0.0004749773070216179,0.0,8.122107158508596e-05,,,
1520,0.2414502203464508,0.23582634329795837,0.0,0.011247750371694565,0.0,8.099077165400206e-05,,,
1530,0.2559039890766144,0.2559039890766144,0.0,0.0,0.0,8.075944565175659e-05,,,
1540,0.3249755799770355,0.3249755799770355,0.0,0.0,0.0,8.052710271070403e-05,,,
1550,0.24953292310237885,0.24953292310237885,0.0,0.0,0.0,8.029375200334586e-05,,,
1560,0.22884386777877808,0.22884386777877808,0.0,0.0,0.0,8.005940274196845e-05,,,
1570,0.13124322891235352,0.13124322891235352,0.0,0.0,0.0,7.982406417827936e-05,,,
1580,0.07070336490869522,0.06592332571744919,0.0,0.009560074657201767,0.0,7.958774560304214e-05,,,
1590,0.46659377217292786,0.46659377217292786,0.0,0.0,0.0,7.935045634570946e-05,,,
1600,0.4086589515209198,0.4086589515209198,0.0,0.0,0.0,7.91122057740549e-05,,,
1610,0.0337873212993145,0.0337873212993145,0.0,0.0,0.0,7.887300329380308e-05,,,
1620,0.041900910437107086,0.04054665565490723,0.0,0.0027085058391094208,0.0,7.863285834825834e-05,,,
1630,0.09029710292816162,0.09029710292816162,0.0,0.0,0.0,7.839178041793195e-05,,,
1640,0.25670409202575684,0.25670409202575684,0.0,0.0,0.0,7.814977902016783e-05,,,
1650,0.023435991257429123,0.023042157292366028,0.0,0.000787666067481041,0.0,7.790686370876673e-05,,,
1660,0.09221477806568146,0.09221477806568146,0.0,0.0,0.0,7.766304407360926e-05,,,
1670,0.4117676317691803,0.4073179364204407,0.0,0.008899401873350143,0.0,7.74183297402771e-05,,,
1680,0.249028280377388,0.249028280377388,0.0,0.0,0.0,7.717273036967313e-05,,,
1690,0.43640920519828796,0.43640920519828796,0.0,0.0,0.0,7.692625565763998e-05,,,
1700,0.11085157096385956,0.11085157096385956,0.0,0.0,0.0,7.667891533457722e-05,,,
1710,0.021314872428774834,0.021314872428774834,0.0,0.0,0.0,7.643071916505727e-05,,,
1720,0.07491961866617203,0.07491961866617203,0.0,0.0,0.0,7.618167694743995e-05,,,
1730,0.05275857448577881,0.05275857448577881,0.0,0.0,0.0,7.593179851348561e-05,,,
1740,0.35699307918548584,0.35699307918548584,0.0,0.0,0.0,7.568109372796693e-05,,,
1750,0.035887859761714935,0.03559502586722374,0.0,0.0005856659263372421,0.0,7.542957248827959e-05,,,
1760,0.40622109174728394,0.3955800533294678,0.0,0.02128208801150322,0.0,7.517724472405144e-05,,,
1770,0.4434339106082916,0.4434339106082916,0.0,0.0,0.0,7.492412039675054e-05,,,
1780,0.2649349868297577,0.26369234919548035,0.0,0.0024853013455867767,0.0,7.467020949929197e-05,,,
1790,0.3933587074279785,0.3933587074279785,0.0,0.0,0.0,7.441552205564315e-05,,,
1800,0.06935369223356247,0.06935369223356247,0.0,0.0,0.0,7.416006812042827e-05,,,
1810,0.26165294647216797,0.26165294647216797,0.0,0.0,0.0,7.390385777853127e-05,,,
1820,0.023514753207564354,0.02154439687728882,0.0,0.003940712660551071,0.0,7.364690114469777e-05,,,
1830,0.2976659834384918,0.2976659834384918,0.0,0.0,0.0,7.33892083631357e-05,,,
1840,0.10759847611188889,0.10428202152252197,0.0,0.006632905453443527,0.0,7.313078960711483e-05,,,
1850,0.26499632000923157,0.2649478018283844,0.0,9.702425450086594e-05,0.0,7.28716550785651e-05,,,
1860,0.3213772177696228,0.3213772177696228,0.0,0.0,0.0,7.261181500767407e-05,,,
1870,0.26573270559310913,0.2656521499156952,0.0,0.0001611197367310524,0.0,7.235127965248282e-05,,,
1880,0.14502181112766266,0.13560263812541962,0.0,0.01883835718035698,0.0,7.209005929848102e-05,,,
1890,0.08415605127811432,0.08334365487098694,0.0,0.0016247890889644623,0.0,7.182816425820101e-05,,,
1900,0.42561978101730347,0.42561978101730347,0.0,0.0,0.0,7.156560487081045e-05,,,
1910,0.0603647455573082,0.0603647455573082,0.0,0.0,0.0,7.130239150170448e-05,,,
1920,0.013989963568747044,0.013989963568747044,0.0,0.0,0.0,7.10385345420962e-05,,,
1930,0.28904032707214355,0.28904032707214355,0.0,0.0,0.0,7.07740444086066e-05,,,
1940,0.02344547212123871,0.02344547212123871,0.0,0.0,0.0,7.050893154285324e-05,,,
1950,0.10784915834665298,0.10762253403663635,0.0,0.0004532448947429657,0.0,7.024320641103812e-05,,,
1960,0.07208886742591858,0.07208886742591858,0.0,0.0,0.0,6.997687950353442e-05,,,
1970,0.09754006564617157,0.09754006564617157,0.0,0.0,0.0,6.970996133447248e-05,,,
1980,0.017956731840968132,0.017956731840968132,0.0,0.0,0.0,6.944246244132452e-05,,,
1990,0.016867130994796753,0.016867130994796753,0.0,0.0,0.0,6.917439338448884e-05,,,
2000,0.13423515856266022,0.13423515856266022,0.0,0.0,0.0,6.89057647468728e-05,0.5906255756368602,0.1434156446876486,0.44720993094921163
2010,0.32245543599128723,0.3178868293762207,0.0,0.009137239307165146,0.0,6.863658713347502e-05,,,
2020,0.08384035527706146,0.08314692974090576,0.0,0.001386847347021103,0.0,6.83668711709668e-05,,,
2030,0.2878202497959137,0.2826002538204193,0.0,0.010440003126859665,0.0,6.80966275072725e-05,,,
2040,0.3798768222332001,0.37893208861351013,0.0,0.001889493316411972,0.0,6.782586681114922e-05,,,
2050,0.2475517839193344,0.24411876499652863,0.0,0.006866049021482468,0.0,6.755459977176566e-05,,,
2060,0.07149239629507065,0.07149239629507065,0.0,0.0,0.0,6.728283709828e-05,,,
2070,0.4683128595352173,0.4676057696342468,0.0,0.0014141909778118134,0.0,6.701058951941733e-05,,,
2080,0.4257138669490814,0.4257138669490814,0.0,0.0,0.0,6.673786778304583e-05,,,
2090,0.4064668118953705,0.4017718434333801,0.0,0.009389933198690414,0.0,6.646468265575269e-05,,,
2100,0.12789088487625122,0.12789088487625122,0.0,0.0,0.0,6.619104492241899e-05,,,
2110,0.28213784098625183,0.2804725170135498,0.0,0.003330674022436142,0.0,6.59169653857939e-05,,,
2120,0.23156949877738953,0.23156949877738953,0.0,0.0,0.0,6.564245486606823e-05,,,
2130,0.6163662672042847,0.6163662672042847,0.0,0.0,0.0,6.536752420044722e-05,,,
2140,0.28648772835731506,0.28648772835731506,0.0,0.0,0.0,6.509218424272282e-05,,,
2150,0.01722504012286663,0.01722504012286663,0.0,0.0,0.0,6.481644586284514e-05,,,
2160,0.06676868349313736,0.06676868349313736,0.0,0.0,0.0,6.454031994649322e-05,,,
2170,0.025492148473858833,0.025492148473858833,0.0,0.0,0.0,6.426381739464544e-05,,,
2180,0.3825858235359192,0.3805289566516876,0.0,0.004113730043172836,0.0,6.398694912314913e-05,,,
2190,0.10218030959367752,0.10218030959367752,0.0,0.0,0.0,6.370972606228958e-05,,,
2200,0.053207624703645706,0.053207624703645706,0.0,0.0,0.0,6.343215915635851e-05,,,
2210,0.10403013229370117,0.10403013229370117,0.0,0.0,0.0,6.31542593632221e-05,,,
2220,0.15777333080768585,0.15777333080768585,0.0,0.0,0.0,6.287603765388837e-05,,,
2230,0.16874977946281433,0.16874977946281433,0.0,0.0,0.0,6.259750501207403e-05,,,
2240,0.09374097734689713,0.09374097734689713,0.0,0.0,0.0,6.23186724337708e-05,,,
2250,0.05374641716480255,0.053172118961811066,0.0,0.0011485926806926727,0.0,6.203955092681145e-05,,,
2260,0.3976244032382965,0.39664775133132935,0.0,0.0019533149898052216,0.0,6.176015151043516e-05,,,
2270,0.2192375808954239,0.21674185991287231,0.0,0.004991438239812851,0.0,6.148048521485248e-05,,,
2280,0.09096939116716385,0.09096939116716385,0.0,0.0,0.0,6.120056308080987e-05,,,
2290,0.2611966133117676,0.2611966133117676,0.0,0.0,0.0,6.0920396159153895e-05,,,
2300,0.20636391639709473,0.20636391639709473,0.0,0.0,0.0,6.063999551039487e-05,,,
2310,0.539310097694397,0.539310097694397,0.0,0.0,0.0,6.0359372204270296e-05,,,
2320,0.01845952309668064,0.01845952309668064,0.0,0.0,0.0,6.0078537319307825e-05,,,
2330,0.6093711853027344,0.6089880466461182,0.0,0.0007662950083613396,0.0,5.979750194238783e-05,,,
2340,0.25884774327278137,0.2532704472541809,0.0,0.011154618114233017,0.0,5.95162771683058e-05,,,
2350,0.07503250986337662,0.07503250986337662,0.0,0.0,0.0,5.923487409933428e-05,,,
2360,0.115239717066288,0.115239717066288,0.0,0.0,0.0,5.8953303844784554e-05,,,
2370,0.1273236870765686,0.1273236870765686,0.0,0.0,0.0,5.8671577520568214e-05,,,
2380,0.30278804898262024,0.30278804898262024,0.0,0.0,0.0,5.838970624875809e-05,,,
2390,0.07353635877370834,0.07319767028093338,0.0,0.0006773704662919044,0.0,5.8107701157149374e-05,,,
2400,0.02264285646378994,0.02119172364473343,0.0,0.002902265638113022,0.0,5.782557337882021e-05,,,
2410,0.39008691906929016,0.39006441831588745,0.0,4.5019201934337616e-05,0.0,5.754333405169221e-05,,,
2420,0.18418726325035095,0.18414434790611267,0.0,8.58185812830925e-05,0.0,5.726099431809072e-05,,,
2430,0.26967671513557434,0.26967671513557434,0.0,0.0,0.0,5.6978565324305e-05,,,
2440,0.10634990781545639,0.1063377782702446,0.0,2.426188439130783e-05,0.0,5.6696058220148104e-05,,,
2450,0.0458691380918026,0.04569730907678604,0.0,0.0003436589613556862,0.0,5.641348415851681e-05,,,
2460,0.3376512825489044,0.3206527829170227,0.0,0.03399699553847313,0.0,5.613085429495123e-05,,,
2470,0.46865716576576233,0.46865716576576233,0.0,0.0,0.0,5.58481797871944e-05,,,
2480,0.02217015251517296,0.02217015251517296,0.0,0.0,0.0,5.5565471794751894e-05,,,
2490,0.02440221607685089,0.024069812148809433,0.0,0.000664805993437767,0.0,5.5282741478451165e-05,,,
2500,0.02525296062231064,0.02520136348903179,0.0,0.00010319612920284271,0.0,5.500000000000099e-05,0.5906255756368602,0.1407548324460407,0.44987074319081954
2510,0.26154130697250366,0.26154130697250366,0.0,0.0,0.0,5.4717258521550824e-05,,,
2520,0.06718868017196655,0.06718868017196655,0.0,0.0,0.0,5.44345282052501e-05,,,
2530,0.3007504343986511,0.3007504343986511,0.0,0.0,0.0,5.4151820212807596e-05,,,
2540,0.09552137553691864,0.09275010228157043,0.0,0.005542542785406113,0.0,5.386914570505076e-05,,,
2550,0.36600780487060547,0.36600780487060547,0.0,0.0,0.0,5.3586515841485166e-05,,,
2560,0.29921817779541016,0.2983365058898926,0.0,0.0017633400857448578,0.0,5.330394177985388e-05,,,
2570,0.012569395825266838,0.012569395825266838,0.0,0.0,0.0,5.302143467569702e-05,,,
2580,0.04844540357589722,0.04844540357589722,0.0,0.0,0.0,5.273900568191129e-05,,,
2590,0.014161978848278522,0.014161978848278522,0.0,0.0,0.0,5.245666594830982e-05,,,
2600,0.23625756800174713,0.235967755317688,0.0,0.0005796365439891815,0.0,5.217442662118182e-05,,,
2610,0.014940979890525341,0.014940979890525341,0.0,0.0,0.0,5.189229884285265e-05,,,
2620,0.07795761525630951,0.07795761525630951,0.0,0.0,0.0,5.1610293751243926e-05,,,
2630,0.48237481713294983,0.4821777641773224,0.0,0.0003941291943192482,0.0,5.132842247943382e-05,,,
2640,0.1000794991850853,0.1000794991850853,0.0,0.0,0.0,5.1046696155217455e-05,,,
2650,0.06146683171391487,0.06146683171391487,0.0,0.0,0.0,5.076512590066773e-05,,,
2660,0.02198144420981407,0.01962093822658062,0.0,0.004721011966466904,0.0,5.0483722831696216e-05,,,
2670,0.4066104590892792,0.404077410697937,0.0,0.005066078156232834,0.0,5.020249805761418e-05,,,
2680,0.054597340524196625,0.054597340524196625,0.0,0.0,0.0,4.992146268069419e-05,,,
2690,0.02357262745499611,0.02357262745499611,0.0,0.0,0.0,4.9640627795731734e-05,,,
2700,0.4071178734302521,0.4045276939868927,0.0,0.005180370062589645,0.0,4.936000448960717e-05,,,
