step,loss,l_attack,l_perc,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf
10,0.19459860026836395,0.19459860026836395,0.0,0.0,9.999753262144806e-05,,,
20,0.9404105544090271,0.9404105544090271,0.0,0.0,9.999013075636804e-05,,,
30,0.5297675132751465,0.5297675132751465,0.0,0.0,9.997779521645793e-05,,,
40,0.9157905578613281,0.9157905578613281,0.0,0.0,9.996052735444863e-05,,,
50,0.49448710680007935,0.49448710680007935,0.0,0.0,9.993832906395583e-05,,,
60,0.0334417000412941,0.0334417000412941,0.0,0.0,9.991120277927224e-05,,,
70,0.9533790946006775,0.9533790946006775,0.0,0.0,9.987915147510062e-05,,,
80,0.830535352230072,0.830535352230072,0.0,0.0,9.984217866622772e-05,,,
90,0.716268002986908,0.716268002986908,0.0,0.0,9.980028840713858e-05,,,
100,0.6788073182106018,0.6788073182106018,0.0,0.0,9.97534852915723e-05,,,
110,0.865807294845581,0.8600398898124695,0.0057673826813697815,0.0,9.970177445201783e-05,,,
120,0.7809460759162903,0.7809460759162903,0.0,0.0,9.964516155915153e-05,,,
130,0.03695650026202202,0.03695650026202202,0.0,0.0,9.9583652821215e-05,,,
140,0.5198553800582886,0.5198553800582886,0.0,0.0,9.951725498333454e-05,,,
150,0.8483473062515259,0.8483473062515259,0.0,0.0,9.944597532678125e-05,,,
160,0.6029531955718994,0.6029531955718994,0.0,0.0,9.936982166817278e-05,,,
170,0.5972505807876587,0.5972505807876587,0.0,0.0,9.928880235861594e-05,,,
180,0.47736993432044983,0.47736993432044983,0.0,0.0,9.920292628279103e-05,,,
190,0.44188663363456726,0.44188663363456726,0.0,0.0,9.911220285797754e-05,,,
200,0.5635865926742554,0.5635865926742554,0.0,0.0,9.901664203302133e-05,,,
210,0.6975554823875427,0.6971475481987,0.0004079565405845642,0.0,9.89162542872437e-05,,,
220,0.20926214754581451,0.20926214754581451,0.0,0.0,9.881105062929226e-05,,,
230,0.11378979682922363,0.11378979682922363,0.0,0.0,9.870104259593366e-05,,,
240,0.010878295637667179,0.010834419168531895,4.3876469135284424e-05,0.0,9.858624225078842e-05,,,
250,0.02068817988038063,0.019475381821393967,0.0012127980589866638,0.0,9.84666621830081e-05,,,
260,0.49954739212989807,0.49954739212989807,0.0,0.0,9.834231550589463e-05,,,
270,0.8505237698554993,0.8503603935241699,0.00016339868307113647,0.0,9.821321585546245e-05,,,
280,0.8827401995658875,0.8827401995658875,0.0,0.0,9.807937738894302e-05,,,
290,0.8378468751907349,0.8378468751907349,0.0,0.0,9.794081478323246e-05,,,
300,0.05267522111535072,0.05267522111535072,0.0,0.0,9.779754323328188e-05,,,
310,0.538558840751648,0.538558840751648,0.0,0.0,9.764957845043131e-05,,,
320,0.5346940159797668,0.5346940159797668,0.0,0.0,9.74969366606866e-05,,,
330,0.11494171619415283,0.11494171619415283,0.0,0.0,9.733963460294009e-05,,,
340,0.11278403550386429,0.11278403550386429,0.0,0.0,9.717768952713508e-05,,,
350,0.06224091351032257,0.06224091351032257,0.0,0.0,9.701111919237404e-05,,,
360,0.7816826105117798,0.7759513854980469,0.005731202661991119,0.0,9.683994186497125e-05,,,
370,0.7682483196258545,0.7682483196258545,0.0,0.0,9.666417631644972e-05,,,
380,0.25552716851234436,0.25552716851234436,0.0,0.0,9.648384182148247e-05,,,
390,0.21239134669303894,0.21239134669303894,0.0,0.0,9.62989581557791e-05,,,
400,0.0031226372811943293,0.0031226372811943293,0.0,0.0,9.610954559391697e-05,,,
410,0.10933507978916168,0.10933507978916168,0.0,0.0,9.591562490711803e-05,,,
420,0.9458421468734741,0.9458421468734741,0.0,0.0,9.571721736097082e-05,,,
430,0.028603319078683853,0.028603319078683853,0.0,0.0,9.551434471309866e-05,,,
440,0.4928444027900696,0.4912416636943817,0.0016027390956878662,0.0,9.53070292107735e-05,,,
450,0.071807861328125,0.071807861328125,0.0,0.0,9.50952935884765e-05,,,
460,0.0891861543059349,0.0891861543059349,0.0,0.0,9.48791610654046e-05,,,
470,0.6788659691810608,0.6788659691810608,0.0,0.0,9.465865534292461e-05,,,
480,0.04409582167863846,0.04409582167863846,0.0,0.0,9.443380060197382e-05,,,
490,0.7342649102210999,0.7342649102210999,0.0,0.0,9.420462150040849e-05,,,
500,0.48233023285865784,0.48233023285865784,0.0,0.0,9.39711431702997e-05,0.5906365395917818,0.46730425300534223,0.12333228658643952
510,0.20327655971050262,0.20327655971050262,0.0,0.0,9.373339121517739e-05,,,
520,0.17001961171627045,0.17001961171627045,0.0,0.0,9.349139170722276e-05,,,
530,0.6789171695709229,0.6789171695709229,0.0,0.0,9.324517118440886e-05,,,
540,0.5389092564582825,0.5389092564582825,0.0,0.0,9.299475664759064e-05,,,
550,0.21906660497188568,0.21906660497188568,0.0,0.0,9.274017555754404e-05,,,
560,0.019160840660333633,0.019160840660333633,0.0,0.0,9.248145583195444e-05,,,
570,0.54973965883255,0.54973965883255,0.0,0.0,9.221862584235521e-05,,,
580,0.023588167503476143,0.023588167503476143,0.0,0.0,9.195171441101663e-05,,,
590,0.17563006281852722,0.17563006281852722,0.0,0.0,9.168075080778488e-05,,,
600,0.05275112763047218,0.05275112763047218,0.0,0.0,9.140576474687261e-05,,,
610,0.8812253475189209,0.8788145184516907,0.002410806715488434,0.0,9.11267863836001e-05,,,
620,0.06078949570655823,0.06078949570655823,0.0,0.0,9.084384631108878e-05,,,
630,0.8876412510871887,0.8687075972557068,0.01893366128206253,0.0,9.055697555690601e-05,,,
640,0.4703824520111084,0.4703824520111084,0.0,0.0,9.026620557966273e-05,,,
650,0.1747165024280548,0.1747165024280548,0.0,0.0,8.997156826556362e-05,,,
660,0.808125376701355,0.808125376701355,0.0,0.0,8.967309592491044e-05,,,
670,0.009013072587549686,0.009013072587549686,0.0,0.0,8.937082128855886e-05,,,
680,0.016580788418650627,0.016580788418650627,0.0,0.0,8.9064777504329e-05,,,
690,0.062349386513233185,0.062349386513233185,0.0,0.0,8.875499813337063e-05,,,
700,0.5353806018829346,0.5289420485496521,0.0064385756850242615,0.0,8.844151714648269e-05,,,
710,0.023358214646577835,0.023358214646577835,0.0,0.0,8.8124368920388e-05,,,
720,0.5731954574584961,0.5731954574584961,0.0,0.0,8.780358823396346e-05,,,
730,0.0419602245092392,0.0419602245092392,0.0,0.0,8.747921026442623e-05,,,
740,0.8516937494277954,0.84490567445755,0.006788067519664764,0.0,8.715127058347607e-05,,,
750,0.04713362455368042,0.04713362455368042,0.0,0.0,8.681980515339456e-05,,,
760,0.0428309440612793,0.0428309440612793,0.0,0.0,8.648485032310135e-05,,,
770,0.8501873016357422,0.8501873016357422,0.0,0.0,8.614644282416822e-05,,,
780,0.0180983804166317,0.013021697290241718,0.005076684057712555,0.0,8.580461976679089e-05,,,
790,0.046239275485277176,0.046239275485277176,0.0,0.0,8.545941863571962e-05,,,
800,0.5217552185058594,0.5217552185058594,0.0,0.0,8.51108772861485e-05,,,
810,0.04380221664905548,0.04380221664905548,0.0,0.0,8.47590339395642e-05,,,
820,0.17475977540016174,0.17475977540016174,0.0,0.0,8.440392717955462e-05,,,
830,0.04022737592458725,0.04022737592458725,0.0,0.0,8.404559594757765e-05,,,
840,0.525087296962738,0.525087296962738,0.0,0.0,8.36840795386909e-05,,,
850,0.4144400358200073,0.4144400358200073,0.0,0.0,8.331941759724256e-05,,,
860,0.04806744307279587,0.04806744307279587,0.0,0.0,8.295165011252386e-05,,,
870,0.09139718115329742,0.09139718115329742,0.0,0.0,8.258081741438383e-05,,,
880,0.10157657414674759,0.10157657414674759,0.0,0.0,8.220696016880676e-05,,,
890,0.648392379283905,0.648392379283905,0.0,0.0,8.183011937345258e-05,,,
900,0.0490819551050663,0.0490819551050663,0.0,0.0,8.145033635316114e-05,,,
910,0.04102896898984909,0.04102896898984909,0.0,0.0,8.106765275542038e-05,,,
