step,loss,l_attack,l_perc,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf
10,0.9409849047660828,0.9409849047660828,0.0,0.0,0.0009991120277927218,,,
20,0.8411018252372742,0.8411018252372742,0.0,0.0,0.0009964516155915144,,,
30,0.8444949984550476,0.8444949984550476,0.0,0.0,0.000992029262827909,,,
40,0.9043434262275696,0.9000698328018188,0.004273600876331329,0.0,0.000985862422507883,,,
50,0.6216859221458435,0.6216859221458435,0.0,0.0,0.0009779754323328174,,,
60,0.6493273973464966,0.6356757283210754,0.013651639223098755,0.0,0.0009683994186497112,,,
70,0.8239299654960632,0.8239299654960632,0.0,0.0,0.0009571721736097071,,,
80,0.6993240118026733,0.6993240118026733,0.0,0.0,0.0009443380060197369,,,
90,0.9421852231025696,0.9421852231025696,0.0,0.0,0.0009299475664759051,,,
100,0.021390343084931374,0.021390343084931374,0.0,0.0,0.0009140576474687246,,,
110,0.008954662829637527,0.008954662829637527,0.0,0.0,0.0008967309592491034,,,
120,0.5938652157783508,0.5938652157783508,0.0,0.0,0.0008780358823396335,,,
130,0.6492838263511658,0.6492838263511658,0.0,0.0,0.0008580461976679083,,,
140,0.6948031783103943,0.6948031783103943,0.0,0.0,0.0008368407953869087,,,
150,0.5976084470748901,0.5976084470748901,0.0,0.0,0.0008145033635316114,,,
160,0.8691354990005493,0.8691354990005493,0.0,0.0,0.0007911220577405469,,,
170,0.1023845225572586,0.1023845225572586,0.0,0.0,0.0007667891533457706,,,
180,0.6210339665412903,0.6210339665412903,0.0,0.0,0.0007416006812042817,,,
190,0.04566080868244171,0.04566080868244171,0.0,0.0,0.000715656048708104,,,
200,0.6056838035583496,0.6056838035583496,0.0,0.0,0.0006890576474687255,,,
210,0.9130692481994629,0.9130692481994629,0.0,0.0,0.0006619104492241836,,,
220,0.7908909916877747,0.7908909916877747,0.0,0.0,0.000634321591563575,,,
230,0.9393685460090637,0.9393685460090637,0.0,0.0,0.0006063999551039358,,,
240,0.9406589865684509,0.9406589865684509,0.0,0.0,0.00057825573378819,,,
250,0.7510130405426025,0.7510130405426025,0.0,0.0,0.0005499999999999992,,,
260,0.8833386898040771,0.8833386898040771,0.0,0.0,0.0005217442662118087,,,
270,0.02126583643257618,0.02126583643257618,0.0,0.0,0.0004936000448960631,,,
280,0.014085712842643261,0.014085712842643261,0.0,0.0,0.0004656784084364238,,,
290,0.9397042393684387,0.9397042393684387,0.0,0.0,0.00043808955077581527,,,
300,0.9418675899505615,0.9418675899505615,0.0,0.0,0.0004109423525312735,,,
310,0.03759526088833809,0.03759526088833809,0.0,0.0,0.0003843439512918947,,,
320,0.018045969307422638,0.018045969307422638,0.0,0.0,0.000358399318795717,,,
330,0.016409851610660553,0.015600942075252533,0.00080890953540802,0.0,0.000333210846654228,,,
340,0.7553320527076721,0.7553320527076721,0.0,0.0,0.0003088779422594516,,,
350,0.014129970222711563,0.014129970222711563,0.0,0.0,0.0002854966364683873,,,
360,0.015487589873373508,0.015487589873373508,0.0,0.0,0.00026315920461308993,,,
370,0.013090766966342926,0.013090766966342926,0.0,0.0,0.00024195380233209057,,,
380,0.027507897466421127,0.027507897466421127,0.0,0.0,0.00022196411766036518,,,
390,0.01624775305390358,0.01624775305390358,0.0,0.0,0.00020326904075089518,,,
400,0.012813789770007133,0.012813789770007133,0.0,0.0,0.0001859423525312739,,,
410,0.01308918185532093,0.012878308072686195,0.0002108737826347351,0.0,0.00017005243352409338,,,
420,0.030648987740278244,0.030648987740278244,0.0,0.0,0.00015566199398026151,,,
430,0.6103900671005249,0.6103900671005249,0.0,0.0,0.00014282782639029142,,,
440,0.011672153137624264,0.011672153137624264,0.0,0.0,0.00013160058135028692,,,
450,0.017473069950938225,0.017473069950938225,0.0,0.0,0.00012202456766718093,,,
460,0.9494481682777405,0.9494481682777405,0.0,0.0,0.00011413757749211603,,,
470,0.9379730224609375,0.9379730224609375,0.0,0.0,0.00010797073717209009,,,
480,0.5952373743057251,0.5952373743057251,0.0,0.0,0.00010354838440848502,,,
490,0.5922027230262756,0.5922027230262756,0.0,0.0,0.0001008879722072778,,,
500,0.936284601688385,0.936284601688385,0.0,0.0,0.0001,0.5906365395917818,0.5690683002000733,0.021568239391708488
